date,samples,harvest_Wh,pv_max_W,vbat_min,vbat_mean,pct_off,pct_bulk,pct_abs,pct_float
2026-07-08,57644,241.7,227,26.4,26.6,53.6,31.5,6.8,8.1
2026-07-09,78567,238.4,168,26.2,26.5,48.6,21.6,4.3,25.5
2026-07-10,78992,183.5,107,26.4,26.6,46.5,13.4,3.4,36.7
2026-07-11,80708,224.5,118,26.2,26.5,43.2,14.5,3.2,39.1
2026-07-12,80680,212.6,125,26.2,26.5,44.4,14.5,3.3,37.7
2026-07-13,80527,226.6,159,26.2,26.5,45.4,15.7,3.4,35.5
2026-07-14,80661,214.0,124,26.2,26.5,44.6,14.1,2.8,38.5
2026-07-15,80677,206.3,118,26.2,26.5,45.2,13.2,3.4,38.1
2026-07-16,80792,216.5,121,26.2,26.5,45.1,14.1,3.0,37.9
2026-07-17,81196,221.1,120,26.2,26.5,44.7,14.5,3.7,37.1
2026-07-18,81019,235.2,123,26.2,26.5,44.5,14.8,3.4,37.2
2026-07-19,80212,239.4,130,26.2,26.5,44.9,15.4,3.0,36.7
2026-07-20,81161,223.2,120,26.2,26.5,45.2,14.5,2.9,37.4
2026-07-21,81181,229.4,130,26.2,26.5,44.8,15.0,3.1,37.1
2026-07-22,81180,221.0,117,26.2,26.5,45.7,14.1,3.2,36.9
2026-07-23,81183,229.7,122,26.2,26.5,45.4,14.2,3.1,37.2
2026-07-24,81181,227.8,123,26.2,26.5,46.2,14.4,2.9,36.5
2026-07-25,81180,229.1,125,26.2,26.5,44.8,14.6,3.0,37.7
2026-07-26,81166,227.7,144,26.2,26.5,44.4,14.7,3.6,37.4
2026-07-27,81182,226.6,136,26.2,26.5,45.9,14.6,3.5,36.0
2026-07-28,81169,228.2,124,26.2,26.5,39.7,14.4,3.4,42.6
2026-07-29,81172,228.7,121,26.2,26.5,44.2,14.9,3.1,37.8
2026-07-30,81184,239.5,156,26.2,26.5,46.0,20.6,1.8,31.6
2026-07-31,81176,214.9,123,26.2,26.5,45.2,14.7,3.6,36.5
2026-08-01,81167,0.4,2,26.2,26.4,78.8,0.0,0.0,21.2
2026-08-02,81162,0.0,0,21.3,25.6,99.9,0.1,0.0,0.0
2026-08-03,15076,136.7,28,4.5,15.6,15.6,84.4,0.0,0.0
